organization,workflow_delay_hr,handoff_count,priority_task_backlog,conflict_reports
Team 2,9.396367425801424,5,17,5
Team 1,5.173086801158119,4,13,3
Team 3,3.5575671488696283,4,11,4
Team 2,8.042387664250032,2,14,4
Team 2,14.309374920216925,3,12,2
Team 1,4.256121287421378,1,0,5
Team 2,11.347148619787342,3,19,2
Team 3,11.663398399796174,1,15,0
Team 1,11.724790715546204,10,9,2
Team 3,13.942941222445594,4,2,2
Team 1,5.51932216524665,4,14,3
Team 2,10.505200372820406,11,10,0
Team 1,3.4054798540679663,10,5,2
Team 2,10.93403521310826,5,4,1
Team 2,7.850527386724095,6,9,2
Team 3,7.1868977694898355,11,11,1
Team 2,10.052061169179376,1,6,1
Team 1,7.698070144835471,9,16,2
Team 3,11.933769915224923,9,5,1
Team 1,8.892982433661953,8,5,5
Team 2,12.888245212155207,7,11,5
Team 2,5.654824896831011,6,18,4
Team 3,10.626936840217525,1,8,4
Team 2,5.344562006677612,2,1,5
Team 3,10.251136461193159,4,2,4
Team 1,5.962645488535167,10,19,4
Team 2,1.8583748059903458,6,14,3
Team 2,7.214718792782293,5,17,1
Team 1,10.916561896725364,7,3,0
Team 1,4.603861209388545,3,16,3
Team 2,9.657082390328847,8,2,1
Team 3,2.702753899209354,10,4,5
Team 2,9.922540313466225,11,19,0
Team 1,1.8160844568573404,5,3,4
Team 2,1.666737417183835,2,11,1
Team 3,8.167223828855048,9,5,5
Team 3,5.190409872386493,4,14,5
Team 1,5.850105894767978,9,12,1
Team 3,10.089044084451746,10,1,3
Team 1,14.284435781520619,4,18,4
Team 1,8.227386308490253,4,18,3
Team 1,10.989608170643125,9,18,4
Team 3,9.206257483043402,7,16,0
Team 3,6.529101733895507,3,1,0
Team 2,10.405431354061387,9,18,5
Team 2,4.32038806787413,4,14,5
Team 3,12.874928047290664,4,0,2
Team 1,5.094624338147174,7,11,4
Team 1,2.6891885646950136,11,7,3
Team 2,7.036578724339034,1,5,0
Team 3,4.8073218502243655,11,17,3
Team 2,4.8321678651476265,7,2,1
Team 3,9.990835971055764,5,7,2
Team 1,7.298772598972148,9,13,1
Team 3,13.71878682016818,4,13,5
Team 1,11.855560352849878,11,11,4
Team 3,5.747575279517122,4,12,0
Team 3,10.852369105057534,10,7,1
Team 1,4.3476607003271965,4,1,0
Team 1,3.8722550611971616,1,16,1
Team 3,10.575560411731345,4,18,2
Team 2,6.833734045531869,1,2,5
Team 3,3.7329602645113376,3,7,5
Team 1,6.464614053895361,6,8,2
Team 2,2.379327924199438,1,17,3
Team 1,5.515621318412238,1,19,5
Team 1,13.452693899463615,5,9,2
Team 2,14.191806809480738,11,3,0
Team 1,10.20459060421748,1,2,2
Team 2,3.7388024832262823,4,8,0
Team 1,8.359502650374516,6,12,2
Team 3,5.351327457295837,9,11,1
Team 1,8.7748775206393,11,0,1
Team 1,8.497417303147262,9,4,2
Team 2,7.511581004577481,4,12,2
Team 1,11.75010432066641,7,16,0
Team 2,13.417257603611676,8,4,4
Team 1,12.617331157854025,6,8,0
Team 1,14.42380310538966,2,10,2
Team 3,13.754895945355976,10,10,4
Team 1,2.675446973818258,7,15,0
Team 1,2.60256032943314,5,17,2
Team 1,14.957510088595773,1,11,2
Team 2,1.5601165634135057,8,5,0
Team 1,13.033892423261513,11,9,1
Team 3,7.517070472131696,11,8,2
Team 3,5.045976583448681,11,2,4
Team 3,11.265695409207147,9,18,4
Team 1,7.61069429487285,3,3,1
Team 2,6.124472948344237,8,13,2
Team 3,2.0324032022695,10,0,4
Team 2,12.496874232668983,5,13,0
Team 2,7.83223680705049,10,6,1
Team 2,11.59886890811858,5,8,3
Team 3,6.1950930165303,4,15,5
Team 1,4.773067546676959,1,1,2
Team 3,11.284324895973821,8,14,2
Team 2,12.85190336818241,4,12,1
Team 1,11.824235977750318,10,15,2
Team 3,2.3616836795915988,10,16,5
Team 2,5.38038727565909,5,5,5
Team 3,1.7601631974726644,2,5,4
Team 1,14.949850102959003,10,11,2
Team 1,3.487782280932032,8,8,5
Team 3,6.19723406750595,9,13,2
Team 2,6.025056289350126,7,0,1
Team 1,4.348533186581472,6,16,1
Team 2,3.7177422495800214,10,13,4
Team 1,11.11019617705263,7,5,2
Team 3,14.948898073599844,1,6,2
Team 3,10.210334861822203,7,9,1
Team 2,3.6549693543130513,10,5,1
Team 3,12.144700187302115,2,13,1
Team 2,9.864083676616758,9,2,1
Team 1,1.8396452321101613,5,15,4
Team 2,7.317317497975952,10,4,5
Team 1,6.574178117937318,5,7,2
Team 1,7.40482795706528,1,7,1
Team 1,3.4261357202184612,3,14,2
Team 2,8.772243145368886,9,15,1
Team 2,10.458059839437553,9,15,0
Team 3,12.569989768825407,1,9,4
Team 1,11.55565484973268,10,5,2
Team 1,1.5329277083589865,8,1,3
Team 3,12.131591126622443,9,5,3
Team 2,10.155045299131842,5,8,0
Team 1,9.469906233038115,4,9,4
Team 2,1.0111877708385415,11,9,2
Team 3,1.1836069404909022,3,11,0
Team 3,3.05946789072659,10,9,1
Team 2,4.718734861517296,4,15,2
Team 3,1.846923115899255,2,8,4
Team 1,4.610118831895412,9,6,4
Team 2,4.206858662257094,5,0,2
Team 3,12.537172795357737,1,12,4
Team 1,3.8259628117262174,2,17,3
Team 1,13.335292558801829,11,11,1
Team 1,4.001103079600638,1,10,1
Team 3,2.2774650080202115,5,12,1
Team 2,11.441281109323477,1,9,2
Team 3,8.060760490736884,3,8,0
Team 2,9.206828605967146,11,12,4
Team 3,6.0981855847282915,4,19,4
Team 1,8.745555433575625,6,9,4
Team 1,12.379825787487773,7,7,5
Team 1,2.9610256038014944,3,6,4
Team 1,4.746751429675786,11,8,3
Team 1,11.353679703609595,10,10,0
Team 2,4.833145093564793,3,3,1
Team 2,9.356060501696719,7,17,4
Team 3,5.740714552704964,8,5,0
Team 1,2.0024531246101427,6,7,4
Team 1,7.9803562597559665,1,4,2
Team 2,11.002878334549903,7,10,4
Team 1,14.868879678824268,8,5,2
Team 3,5.2862989987221845,2,14,1
Team 1,7.045465911715007,1,0,5
Team 3,8.674569838122329,3,10,1
Team 3,9.291904770170325,4,14,2
Team 1,2.5110813512664345,3,13,3
Team 2,11.105242332969388,1,9,1
Team 1,5.029409073563386,11,6,3
Team 3,10.942736873017799,11,10,3
Team 1,4.708842759837246,5,9,5
Team 2,5.610084880873569,11,12,2
Team 2,3.155149964560035,7,7,3
Team 3,5.280307885264184,10,19,4
Team 1,11.746309958106925,11,2,3
Team 2,9.033872616001036,6,11,4
Team 1,14.603943291322334,11,2,2
Team 2,10.6858911529364,4,15,5
Team 1,7.87907161147494,7,17,3
Team 3,6.865353383367816,3,2,4
Team 1,14.340297908798723,3,13,4
Team 1,3.019115303847059,5,17,0
Team 3,8.296944281960773,7,3,0
Team 3,13.448092358719872,9,3,4
Team 2,11.140426140777944,7,6,3
Team 1,10.133982239311829,10,6,5
Team 1,9.024952280721227,10,1,1
